Date,Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
02-09-2024,Kunjpura,126.5,Tonnes,Basmati 1509,2310,2630,2450,Rs/Quintal,Paddy(Dhan)(Basmati)
02-09-2024,Nilokheri,43.6,Tonnes,Basmati 1509,1650,2600,2581,Rs/Quintal,Paddy(Dhan)(Basmati)
02-09-2024,,,,,,,,,
02-09-2024,Group:Fruits,,,,,,,,
02-09-2024,Bahadurgarh,4.4,Tonnes,Other,5000,8000,6000,Rs/Quintal,Apple
02-09-2024,Barwala(Hisar),1.2,Tonnes,Other,4000,6000,5000,Rs/Quintal,Apple
02-09-2024,Bhiwani,0.05,Tonnes,Apple,7540,11200,8947,Rs/Quintal,Apple
02-09-2024,Ch. Dadri,18,Tonnes,Other,3000,10000,6500,Rs/Quintal,Apple
02-09-2024,Dhand,0.1,Tonnes,Other,8500,9000,8900,Rs/Quintal,Apple
02-09-2024,Faridabad,1.2,Tonnes,Apple,4000,8000,6000,Rs/Quintal,Apple
02-09-2024,Gohana,2.6,Tonnes,Apple,6000,8000,7000,Rs/Quintal,Apple
02-09-2024,Gurgaon,17.8,Tonnes,Other,8000,10000,9000,Rs/Quintal,Apple
02-09-2024,Hansi,4.9,Tonnes,Other,5000,9000,7000,Rs/Quintal,Apple
02-09-2024,Hissar,4.8,Tonnes,Other,4000,10000,8000,Rs/Quintal,Apple
02-09-2024,,,Tonnes,,11000,14000,12500,Rs/Quintal,Apple
02-09-2024,Ladwa,0.6,Tonnes,Apple,5000,7500,6200,Rs/Quintal,Apple
02-09-2024,Narnaul,1.4,Tonnes,Apple,6000,8000,7000,Rs/Quintal,Apple
02-09-2024,Narwana,1.7,Tonnes,Other,8000,12000,10000,Rs/Quintal,Apple
02-09-2024,"New Grain Market , Panchkula",1,Tonnes,Apple,8500,9500,9000,Rs/Quintal,Apple
02-09-2024,"New Grain Market(main), Karnal",14.7,Tonnes,Other,3000,10000,6500,Rs/Quintal,Apple
02-09-2024,Rewari,5.6,Tonnes,Apple,5000,15000,10000,Rs/Quintal,Apple
02-09-2024,Sirsa,10,Tonnes,Other,2800,7000,6000,Rs/Quintal,Apple
02-09-2024,Sonepat,1.5,Tonnes,Other,10000,12000,12000,Rs/Quintal,Apple
02-09-2024,Uklana,0.1,Tonnes,Apple,6000,6000,6000,Rs/Quintal,Apple
02-09-2024,,,,,,,,,
02-09-2024,Ambala City(Subji Mandi),1300,Tonnes,Other,4000,5000,4500,Rs/Quintal,Banana
02-09-2024,Bahadurgarh,14.5,Tonnes,Other,1500,2000,1800,Rs/Quintal,Banana
02-09-2024,Barwala(Hisar),10.8,Tonnes,Other,2000,3500,3000,Rs/Quintal,Banana
