Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
,,,,,,,,
Group:Cereals,,,,,,,,
,,,,,,,,
Hissar,5.3,Tonnes,Other,2350,2350,2350,Rs/Quintal,Bajra
Khanina,2,Tonnes,Other,2400,2400,2400,Rs/Quintal,Bajra
Maize,,,,,,,,
Shahzadpur,9.5,Tonnes,Other,2350,2350,2350,Rs/Quintal,Maize
,,,,,,,,
Jundla,9.5,Tonnes,Basmati 1509,2500,2521,2521,Rs/Quintal,Paddy
Kunjpura,62.8,Tonnes,Basmati 1509,2350,2590,2470,Rs/Quintal,Paddy
"New Grain Market , Sonipat",10.5,Tonnes,Basmati 1509,2461,2601,2601,Rs/Quintal,Paddy
Nilokheri,50,Tonnes,Basmati 1509,1861,2585,1880,Rs/Quintal,Paddy
Pipli,31,Tonnes,Basmati 1509,1800,2531,1901,Rs/Quintal,Paddy
Tohana,15.5,Tonnes,1121,2250,2450,2450,Rs/Quintal,Paddy
Wheat,,,,,,,,
Khanina,0.8,Tonnes,Other,2620,2620,2620,Rs/Quintal,Wheat
,,,,,,,,
Group:Fibre Crops,,,,,,,,
,,,,,,,,
Adampur,23.4,Tonnes,Other,6700,7000,6850,Rs/Quintal,Cotton
,,,,,,,,
Group:Fruits,,,,,,,,
,,,,,,,,
Ambala Cantt.,6.5,Tonnes,Apple,3500,8000,6500,Rs/Quintal,Apple
Barwala(Hisar),0.5,Tonnes,Other,6000,7000,6500,Rs/Quintal,Apple
Bhiwani,1.25,Tonnes,Apple,7540,11000,9504,Rs/Quintal,Apple
Dhand,0.2,Tonnes,Other,6000,6500,6400,Rs/Quintal,Apple
Faridabad,3.9,Tonnes,Apple,4000,12000,8000,Rs/Quintal,Apple
Ganaur,0.1,Tonnes,Other,12000,14000,12000,Rs/Quintal,Apple
Gharaunda,0.5,Tonnes,Other,8000,8000,8000,Rs/Quintal,Apple
Gohana,1.7,Tonnes,Apple,6000,8000,7000,Rs/Quintal,Apple
Gurgaon,10.8,Tonnes,Other,8000,10000,9000,Rs/Quintal,Apple
